,Finish,Start,Car #,Make
428,33,23,10.0,Chevrolet
429,34,7,11.0,Toyota
430,35,4,22.0,Ford
431,36,17,16.0,Ford
432,37,13,18.0,Toyota
433,38,32,93.0,Toyota
434,39,41,87.0,Toyota
435,40,24,29.0,Chevrolet
436,41,35,83.0,Toyota
437,42,10,5.0,Chevrolet
438,43,15,21.0,Ford
440,1,7,20.0,Toyota
441,2,6,11.0,Toyota
442,3,8,24.0,Chevrolet
443,4,2,48.0,Chevrolet
444,5,10,29.0,Chevrolet
445,6,3,18.0,Toyota
446,7,17,99.0,Ford
447,8,12,42.0,Chevrolet
448,9,16,88.0,Chevrolet
449,10,21,39.0,Chevrolet
450,11,13,15.0,Toyota
451,12,5,56.0,Toyota
452,13,9,16.0,Ford
453,14,1,78.0,Chevrolet
454,15,20,14.0,Chevrolet
455,16,25,1.0,Chevrolet
456,17,4,5.0,Chevrolet
457,18,14,17.0,Ford
458,19,15,27.0,Chevrolet
459,20,18,43.0,Ford
460,21,11,31.0,Chevrolet
461,22,30,22.0,Ford
462,23,28,93.0,Toyota
463,24,27,51.0,Chevrolet
464,25,22,55.0,Toyota
465,26,23,47.0,Toyota
466,27,37,7.0,Chevrolet
467,28,40,10.0,Chevrolet
468,29,29,38.0,Ford
469,30,32,33.0,Chevrolet
470,31,43,87.0,Toyota
471,32,26,2.0,Ford
472,33,41,32.0,Ford
473,34,24,9.0,Ford
474,35,42,36.0,Chevrolet
475,36,33,83.0,Toyota
476,37,19,13.0,Ford
477,38,34,35.0,Ford
478,39,31,34.0,Ford
479,40,39,30.0,Toyota
480,41,36,95.0,Ford
481,42,35,98.0,Ford
482,43,38,19.0,Toyota
484,1,15,29.0,Chevrolet
485,2,6,5.0,Chevrolet
486,3,2,78.0,Chevrolet
487,4,1,11.0,Toyota
488,5,31,22.0,Ford
489,6,10,39.0,Chevrolet
490,7,25,14.0,Chevrolet
491,8,5,15.0,Toyota
492,9,17,56.0,Toyota
493,10,19,9.0,Ford
494,11,13,99.0,Ford
495,12,27,31.0,Chevrolet
496,13,22,27.0,Chevrolet
497,14,30,17.0,Ford
498,15,3,20.0,Toyota
499,16,29,21.0,Ford
500,17,36,51.0,Chevrolet
501,18,16,42.0,Chevrolet
502,19,9,1.0,Chevrolet
503,20,26,38.0,Ford
504,21,38,83.0,Toyota
505,22,12,48.0,Chevrolet
506,23,21,13.0,Ford
507,24,34,47.0,Toyota
508,25,35,34.0,Ford
509,26,43,35.0,Ford
510,27,40,32.0,Ford
511,28,23,36.0,Chevrolet
512,29,24,10.0,Chevrolet
513,30,33,7.0,Chevrolet
514,31,7,16.0,Ford
515,32,39,30.0,Toyota
516,33,18,43.0,Ford
517,34,4,55.0,Toyota
518,35,14,24.0,Chevrolet
519,36,20,2.0,Ford
520,37,42,33.0,Chevrolet
521,38,8,18.0,Toyota
522,39,11,88.0,Chevrolet
523,40,28,93.0,Toyota
524,41,41,87.0,Toyota
525,42,32,98.0,Ford
526,43,37,95.0,Ford
528,1,22,14.0,Chevrolet
529,2,14,42.0,Chevrolet
530,3,20,24.0,Chevrolet
531,4,3,18.0,Toyota
532,5,8,2.0,Ford
533,6,15,15.0,Toyota
534,7,9,22.0,Ford
535,8,7,29.0,Chevrolet
536,9,6,55.0,Toyota
537,10,12,88.0,Chevrolet
538,11,29,31.0,Chevrolet
539,12,13,78.0,Chevrolet
540,13,23,17.0,Ford
541,14,18,99.0,Ford
542,15,19,16.0,Ford
543,16,17,13.0,Ford
544,17,24,48.0,Chevrolet
545,18,33,43.0,Ford
546,19,30,9.0,Ford
547,20,16,27.0,Chevrolet
548,21,26,47.0,Toyota
549,22,35,34.0,Ford
550,23,11,5.0,Chevrolet
551,24,39,10.0,Chevrolet
552,25,41,35.0,Ford
553,26,27,83.0,Toyota
554,27,25,51.0,Chevrolet
555,28,34,30.0,Toyota
556,29,37,7.0,Chevrolet
557,30,40,36.0,Chevrolet
558,31,36,87.0,Toyota
559,32,21,33.0,Chevrolet
560,33,10,1.0,Chevrolet
561,34,1,11.0,Toyota
562,35,42,32.0,Ford
563,36,5,39.0,Chevrolet
564,37,28,38.0,Ford
565,38,2,56.0,Toyota
566,39,38,93.0,Toyota
567,40,4,20.0,Toyota
568,41,32,19.0,Toyota
569,42,31,98.0,Ford
570,43,43,44.0,Ford
572,1,1,48.0,Chevrolet
573,2,13,16.0,Ford
574,3,6,88.0,Chevrolet
575,4,19,14.0,Chevrolet
576,5,23,39.0,Chevrolet
577,6,8,18.0,Toyota
578,7,20,78.0,Chevrolet
579,8,17,11.0,Toyota
580,9,5,29.0,Chevrolet
581,10,21,22.0,Ford
582,11,24,31.0,Chevrolet
583,12,11,24.0,Chevrolet
584,13,22,1.0,Chevrolet
585,14,25,42.0,Chevrolet
586,15,3,15.0,Toyota
587,16,10,2.0,Ford
588,17,26,9.0,Ford
589,18,2,99.0,Ford
590,19,14,55.0,Toyota
591,20,39,93.0,Toyota
592,21,12,43.0,Ford
593,22,27,13.0,Ford
594,23,15,56.0,Toyota
595,24,31,38.0,Ford
596,25,4,20.0,Toyota
597,26,16,17.0,Ford
598,27,29,47.0,Toyota
599,28,33,30.0,Toyota
600,29,30,10.0,Chevrolet
601,30,9,27.0,Chevrolet
602,31,32,7.0,Chevrolet
603,32,34,83.0,Toyota
604,33,18,51.0,Chevrolet
605,34,36,35.0,Ford
606,35,38,32.0,Ford
607,36,7,5.0,Chevrolet
608,37,28,34.0,Ford
609,38,37,33.0,Chevrolet
610,39,35,36.0,Chevrolet
611,40,41,98.0,Ford
612,41,43,44.0,Ford
613,42,40,87.0,Toyota
614,43,42,19.0,Toyota
616,1,19,16.0,Ford
617,2,21,29.0,Chevrolet
618,3,13,56.0,Toyota
619,4,9,18.0,Toyota
620,5,14,14.0,Chevrolet
621,6,8,20.0,Toyota
622,7,27,15.0,Toyota
623,8,1,99.0,Ford
624,9,6,22.0,Ford
625,10,18,31.0,Chevrolet
626,11,7,33.0,Chevrolet
627,12,16,2.0,Ford
628,13,37,10.0,Chevrolet
629,14,4,27.0,Chevrolet
630,15,25,21.0,Ford
631,16,15,17.0,Ford
632,17,5,43.0,Ford
633,18,35,39.0,Chevrolet
634,19,32,47.0,Toyota
635,20,10,42.0,Chevrolet
636,21,24,13.0,Ford
637,22,26,38.0,Ford
638,23,23,9.0,Ford
639,24,40,36.0,Chevrolet
640,25,31,34.0,Ford
641,26,22,55.0,Toyota
642,27,41,93.0,Toyota
643,28,17,48.0,Chevrolet
644,29,34,30.0,Toyota
645,30,11,11.0,Toyota
646,31,36,7.0,Chevrolet
647,32,33,83.0,Toyota
648,33,28,1.0,Chevrolet
649,34,39,32.0,Ford
650,35,2,78.0,Chevrolet
651,36,42,87.0,Toyota
652,37,12,88.0,Chevrolet
653,38,3,5.0,Chevrolet
654,39,29,24.0,Chevrolet
655,40,38,35.0,Ford
656,41,43,19.0,Toyota
657,42,30,98.0,Ford
658,43,20,51.0,Chevrolet
660,1,14,56.0,Toyota
661,2,10,24.0,Chevrolet
662,3,3,99.0,Ford
663,4,7,78.0,Chevrolet
664,5,5,15.0,Toyota
665,6,15,5.0,Chevrolet
666,7,2,9.0,Ford
667,8,4,16.0,Ford
668,9,19,48.0,Chevrolet
669,10,12,29.0,Chevrolet
670,11,8,22.0,Ford
671,12,26,88.0,Chevrolet
672,13,34,55.0,Toyota
673,14,16,27.0,Chevrolet
674,15,30,39.0,Chevrolet
675,16,21,13.0,Ford
676,17,33,93.0,Toyota
677,18,24,32.0,Ford
678,19,6,20.0,Toyota
679,20,32,43.0,Ford
680,21,18,2.0,Ford
681,22,25,33.0,Chevrolet
682,23,17,11.0,Toyota
683,24,29,38.0,Ford
684,25,1,1.0,Chevrolet
685,26,38,83.0,Toyota
686,27,37,17.0,Ford
687,28,11,14.0,Chevrolet
688,29,31,10.0,Chevrolet
689,30,36,7.0,Chevrolet
690,31,27,31.0,Chevrolet
691,32,35,35.0,Ford
692,33,23,34.0,Ford
693,34,13,42.0,Chevrolet
694,35,9,18.0,Toyota
695,36,28,30.0,Toyota
696,37,42,36.0,Chevrolet
697,38,41,87.0,Toyota
698,39,40,52.0,Ford
699,40,39,19.0,Toyota
700,41,22,51.0,Chevrolet
701,42,43,37.0,Chevrolet
702,43,20,47.0,Toyota
704,1,16,20.0,Toyota
705,2,23,1.0,Chevrolet
706,3,15,15.0,Toyota
707,4,11,22.0,Ford
708,5,4,18.0,Toyota
709,6,27,78.0,Chevrolet
710,7,19,56.0,Toyota
711,8,12,24.0,Chevrolet
712,9,3,48.0,Chevrolet
713,10,22,29.0,Chevrolet
714,11,21,5.0,Chevrolet
715,12,1,88.0,Chevrolet
716,13,5,9.0,Ford
717,14,7,39.0,Chevrolet
718,15,18,43.0,Ford
719,16,10,42.0,Chevrolet
720,17,13,17.0,Ford
721,18,31,13.0,Ford
722,19,14,31.0,Chevrolet
723,20,25,14.0,Chevrolet
724,21,2,99.0,Ford
725,22,17,47.0,Toyota
726,23,29,10.0,Chevrolet
727,24,26,51.0,Chevrolet
728,25,28,30.0,Toyota
729,26,38,34.0,Ford
730,27,36,83.0,Toyota
731,28,34,38.0,Ford
732,29,42,32.0,Ford
733,30,24,27.0,Chevrolet
734,31,9,55.0,Toyota
735,32,35,36.0,Chevrolet
736,33,8,2.0,Ford
737,34,20,16.0,Ford
738,35,6,11.0,Toyota
739,36,30,33.0,Chevrolet
740,37,41,87.0,Toyota
741,38,33,98.0,Ford
742,39,37,35.0,Ford
743,40,32,7.0,Chevrolet
744,41,39,19.0,Toyota
745,42,40,93.0,Toyota
746,43,43,44.0,Ford
748,1,8,48.0,Chevrolet
749,2,13,14.0,Chevrolet
750,3,26,29.0,Chevrolet
751,4,3,15.0,Toyota
752,5,7,55.0,Toyota
753,6,22,78.0,Chevrolet
754,7,27,1.0,Chevrolet
755,8,16,88.0,Chevrolet
756,9,19,13.0,Ford
757,10,21,39.0,Chevrolet
758,11,9,17.0,Ford
759,12,1,18.0,Toyota
760,13,32,36.0,Chevrolet
761,14,11,10.0,Chevrolet
762,15,28,38.0,Ford
